criterion,target_sparsity,mean_achieved_sparsity,mean_test_acc,std_test_acc,n_seeds
saliency,0.0,0.0,0.9704735376044569,0.006412737845805779,5
saliency,0.5,0.5,0.9760445682451253,0.008024991805508601,5
saliency,0.75,0.75,0.9743732590529248,0.0082160898071045,5
saliency,0.9,0.9000234962406015,0.9715877437325904,0.010859937988645102,5
saliency,0.95,0.9500117481203008,0.969359331476323,0.008808572869549811,5
saliency,0.98,0.979969454887218,0.950974930362117,0.01905585668689369,5
magnitude,0.0,0.0,0.9704735376044569,0.006412737845805779,5
magnitude,0.5,0.5,0.9743732590529248,0.007729491323404805,5
magnitude,0.75,0.75,0.9721448467966575,0.007878627088429497,5
magnitude,0.9,0.9000234962406015,0.9721448467966575,0.010422443974300671,5
magnitude,0.95,0.9500117481203008,0.9676880222841227,0.006102758300893184,5
magnitude,0.98,0.979969454887218,0.9465181058495823,0.004982881286907612,5
